EMD_CD,EMD_NM,SGG_OID,COL_ADM_SE,GID
11710107,가락동,56,11710,2629
11530103,가리봉동,386,11530,2711
11545101,가산동,34,11545,2708
11500104,가양동,66,11500,2732
11110146,가회동,306,11110,3058
11170104,갈월동,147,11170,2900
11380104,갈현동,68,11380,2785
11740110,강일동,359,11740,2620
11530107,개봉동,1026,11530,2710
11680103,개포동,379,11680,2640
11500110,개화동,49,11500,2729
11710113,거여동,2964,11710,2624
11110129,견지동,344,11110,3021
11110134,경운동,335,11110,3043
11110148,계동,301,11110,3063
11740102,고덕동,358,11740,2621
11530106,고척동,58,11530,2713
11440102,공덕동,5217,11440,5227
11350103,공릉동,37,11350,2793
11110127,공평동,359,11110,3006
11500108,공항동,57,11500,2723
11500111,과해동,51,11500,2727
11110155,관수동,370,11110,3028
11110135,관철동,367,11110,2998
11110128,관훈동,341,11110,3024
11215104,광장동,35,11215,2865
11140145,광희동1가,336,11140,2946
11140146,광희동2가,337,11140,2945
11110176,교남동,371,11110,3027
11110180,교북동,351,11110,3014
11110182,구기동,290,11110,3074
11530102,구로동,385,11530,2712
11380105,구산동,58,11380,2786
11440113,구수동,1707,11440,2753
11215103,구의동,37,11215,2863
11215109,군자동,34,11215,2866
11530109,궁동,53,11530,2716
11110103,궁정동,304,11110,3060
11110131,권농동,328,11110,3030
11200109,금호동1가,3707,11200,2876
11200110,금호동2가,3708,11200,2872
11200111,금호동3가,3709,11200,2871
11200112,금호동4가,3710,11200,2870
11740105,길동,355,11740,2619
11290134,길음동,1410,11290,5267
11110137,낙원동,330,11110,3048
11410120,남가좌동,1069,11410,2762
11140106,남대문로1가,320,11140,2925
11140115,남대문로2가,308,11140,2987
11140116,남대문로3가,309,11140,2986
11140117,남대문로4가,289,11140,2963
11140118,남대문로5가,290,11140,2962
11140128,남산동1가,327,11140,2937
11140129,남산동2가,324,11140,2949
11140130,남산동3가,326,11140,2938
11170105,남영동,137,11170,2910
11140112,남창동,287,11140,2965
11140140,남학동,318,11140,2927
11620103,남현동,35,11620,2663
11650109,내곡동,65,11650,2651
11500106,내발산동,58,11500,2722
11110118,내수동,347,11110,3018
11110114,내자동,338,11110,3040
11410105,냉천동,400,11410,2769
11440110,노고산동,3625,11440,2740
11590101,노량진동,1345,11590,2664
11380102,녹번동,53,11380,2790
11680108,논현동,372,11680,2647
11110109,누상동,312,11110,3052
11110110,누하동,319,11110,3068
11215102,능동,36,11215,2864
11140102,다동,274,11140,2978
11230105,답십리동,1345,11230,2860
11560117,당산동,150,11560,2686
11560111,당산동1가,158,11560,2678
11560112,당산동2가,157,11560,2679
11560113,당산동3가,159,11560,2677
11560114,당산동4가,135,11560,2701
11560115,당산동5가,156,11560,2680
11560116,당산동6가,155,11560,2681
11440118,당인동,2676,11440,2736
11110117,당주동,356,11110,3009
11560133,대림동,132,11560,2704
11590108,대방동,1346,11590,2666
11410113,대신동,392,11410,2776
11380106,대조동,705,11380,2783
11680106,대치동,373,11680,2646
11410112,대현동,1714,11410,2766
11440108,대흥동,2019,11440,2757
11680118,도곡동,376,11680,2643
11110116,도렴동,350,11110,3015
11560118,도림동,530,11560,2675
11320108,도봉동,33,11320,2801
11200104,도선동,3702,11200,2879
11170120,도원동,156,11170,2887
11440104,도화동,3939,11440,2742
11545102,독산동,35,11545,2707
11290103,돈암동,1089,11290,2808
11110153,돈의동,354,11110,3011
11440121,동교동,4899,11440,5145
11170132,동빙고동,157,11170,2886
11290116,동선동1가,415,11290,2836
11290117,동선동2가,419,11290,2832
11290118,동선동3가,414,11290,2837
11290119,동선동4가,413,11290,2838
11290120,동선동5가,422,11290,2823
11290104,동소문동1가,1105,11290,2809
11290105,동소문동2가,436,11290,2826
11290106,동소문동3가,428,11290,2817
11290107,동소문동4가,426,11290,2819
11290108,동소문동5가,427,11290,2818
11290109,동소문동6가,433,11290,2829
11290110,동소문동7가,425,11290,2820
11110168,동숭동,297,11110,3076
11170107,동자동,163,11170,2894
11590106,동작동,50,11590,2670
11740106,둔촌동,369,11740,2616
11500102,등촌동,1026,11500,2730
11500105,마곡동,707,11500,2724
11200105,마장동,3703,11200,2882
11710114,마천동,2626,11710,2635
11440107,마포동,709,11440,2760
11140173,만리동1가,276,11140,2976
11140174,만리동2가,283,11140,2969
11260105,망우동,37,11260,2846
11440123,망원동,3297,11440,2755
11260101,면목동,33,11260,2849
11140126,명동1가,332,11140,2932
11140127,명동2가,297,11140,2955
11110170,명륜1가,298,11110,3066
11110171,명륜2가,305,11110,3059
11110173,명륜3가,299,11110,3065
11110172,명륜4가,310,11110,3054
11740101,명일동,361,11740,2622
11470102,목동,337,11470,2735
11110151,묘동,349,11110,3016
11140101,무교동,273,11140,2979
11110187,무악동,1027,11110,3050
11140164,무학동,286,11140,2966
11260104,묵동,34,11260,2848
11140136,묵정동,339,11140,2943
11560119,문래동1가,162,11560,2674
11560120,문래동2가,147,11560,2689
11560121,문래동3가,142,11560,2694
11560122,문래동4가,146,11560,2690
11560123,문래동5가,144,11560,2692
11560124,문래동6가,141,11560,2695
11170122,문배동,140,11170,2907
11710108,문정동,3266,11710,2626
11410104,미근동,402,11410,2767
11305101,미아동,49,11305,2804
11650107,반포동,50,11650,2659
11650101,방배동,56,11650,2655
11140153,방산동,292,11140,2960
11710111,방이동,1345,11710,2627
11320106,방학동,34,11320,2800
11500109,방화동,708,11500,2720
11305102,번동,66,11305,2802
11170136,보광동,130,11170,2917
11290130,보문동1가,424,11290,2821
11290131,보문동2가,410,11290,2841
11290132,보문동3가,438,11290,2825
11290126,보문동4가,430,11290,2815
11290127,보문동5가,429,11290,2816
11290128,보문동6가,401,11290,2814
11290129,보문동7가,408,11290,2843
11590104,본동,49,11590,2672
11140119,봉래동1가,288,11140,2964
11140120,봉래동2가,278,11140,2974
11410115,봉원동,388,11410,2779
11110152,봉익동,352,11110,3013
11620101,봉천동,370,11620,2661
11110184,부암동,294,11110,3079
11410119,북가좌동,2337,11410,2765
11410110,북아현동,2657,11410,2764
11140113,북창동,322,11140,2951
11380103,불광동,706,11380,2782
11110144,사간동,329,11110,3049
11200106,사근동,3704,11200,2878
11590107,사당동,51,11590,2669
11110115,사직동,326,11110,3032
11140157,산림동,313,11140,2982
11170115,산천동,133,11170,2914
11140107,삼각동,321,11140,2924
11290111,삼선동1가,418,11290,2833
11290112,삼선동2가,420,11290,2831
11290113,삼선동3가,405,11290,2811
11290114,삼선동4가,435,11290,2827
11290115,삼선동5가,423,11290,2822
11680105,삼성동,371,11680,2648
11710106,삼전동,55,11710,2630
11110140,삼청동,295,11110,3078
11350105,상계동,33,11350,2797
11590103,상도1동,385,11590,2665
11590102,상도동,1025,11590,2671
11260102,상봉동,35,11260,2847
11440115,상수동,2342,11440,2754
11440127,상암동,3623,11440,2737
11200101,상왕십리동,3699,11200,2883
11290137,상월곡동,411,11290,2840
11740103,상일동,356,11740,2615
11170108,서계동,129,11170,2918
11440120,서교동,2021,11440,2751
11110123,서린동,363,11110,3002
11170133,서빙고동,159,11170,2920
11140166,서소문동,307,11140,2988
11650108,서초동,51,11650,2658
11290139,석관동,412,11290,2839
11710105,석촌동,54,11710,2631
11740108,성내동,354,11740,2618
11290101,성북동,1121,11290,2807
11290102,성북동1가,434,11290,2828
11440125,성산동,3621,11440,2749
11200114,성수동1가,3712,11200,2875
11200115,성수동2가,3969,11200,2868
11680111,세곡동,1042,11680,2637
11110119,세종로,373,11110,3025
11110142,소격동,317,11110,3070
11140111,소공동,323,11140,2950
11110178,송월동,361,11110,3004
11200118,송정동,3970,11200,2884
11710104,송파동,52,11710,2633
11110145,송현동,327,11110,3031
11380101,수색동,55,11380,2788
11680115,수서동,377,11680,2642
11110124,수송동,342,11110,3023
11305103,수유동,65,11305,2803
11140110,수표동,294,11140,2958
11140108,수하동,317,11140,2928
11140168,순화동,291,11140,2961
11110175,숭인동,289,11110,3075
11545103,시흥동,33,11545,2709
11170123,신계동,145,11170,2902
11440103,신공덕동,2018,11440,2744
11110102,신교동,307,11110,3057
11560132,신길동,833,11560,2706
11260106,신내동,49,11260,2850
11140162,신당동,279,11140,2973
11590109,신대방동,55,11590,2667
11530101,신도림동,49,11530,2718
11620102,신림동,369,11620,2662
11110120,신문로1가,362,11110,3003
11110121,신문로2가,346,11110,3019
11680107,신사동(강남구),378,11680,2641
11380109,신사동(은평구),54,11380,2789
11230101,신설동,706,11230,2853
11440111,신수동,3624,11440,2741
11110186,신영동,292,11110,3081
11650111,신원동,705,11650,2654
11470103,신월동,339,11470,2733
11440117,신정동(마포구),2660,11440,2746
11470101,신정동(양천구),338,11470,2734
11170114,신창동,134,11170,2913
11710102,신천동,49,11710,2636
11410114,신촌동,390,11410,2778
11140147,쌍림동,335,11140,2947
11320105,쌍문동,36,11320,2798
11440101,아현동,3635,11440,2748
11110141,안국동,322,11110,3036
11290121,안암동1가,416,11290,2835
11290122,안암동2가,417,11290,2834
11290123,안암동3가,406,11290,2810
11290124,안암동4가,407,11290,2844
11290125,안암동5가,421,11290,2824
11740107,암사동,360,11740,2623
11680110,압구정동,369,11680,2650
11650102,양재동,58,11650,2653
11560134,양평동,148,11560,2688
11560125,양평동1가,138,11560,2698
11560126,양평동2가,137,11560,2699
11560127,양평동3가,133,11560,2703
11560128,양평동4가,131,11560,2705
11560129,양평동5가,154,11560,2682
11560130,양평동6가,153,11560,2683
11560131,양화동,179,11560,2673
11560110,여의도동,817,11560,2676
11680101,역삼동,374,11680,2645
11380108,역촌동,49,11380,2792
11110166,연건동,315,11110,3072
11440124,연남동,4579,11440,5134
11110160,연지동,340,11110,3038
11410117,연희동,1377,11410,2763
11650110,염곡동,97,11650,2657
11440109,염리동,5218,11440,5228
11500101,염창동,53,11500,2726
11560101,영등포동,513,11560,2687
11560102,영등포동1가,145,11560,2691
11560103,영등포동2가,139,11560,2697
11560104,영등포동3가,143,11560,2693
11560105,영등포동4가,151,11560,2685
11560106,영등포동5가,152,11560,2684
11560107,영등포동6가,140,11560,2696
11560108,영등포동7가,136,11560,2700
11560109,영등포동8가,134,11560,2702
11410108,영천동,386,11410,2780
11140135,예관동,312,11140,2983
11140142,예장동,281,11140,2971
11110158,예지동,360,11110,3005
11500112,오곡동,54,11500,2725
11710112,오금동,57,11710,2628
11530108,오류동,1345,11530,5217
11500113,오쇠동,50,11500,2728
11140154,오장동,338,11140,2944
11200113,옥수동,3711,11200,2869
11110111,옥인동,303,11110,3061
11410107,옥천동,399,11410,2770
11530110,온수동,56,11530,2714
11110130,와룡동,302,11110,3062
11500107,외발산동,59,11500,2721
11440105,용강동,2020,11440,2758
11200122,용답동,3971,11200,2874
11230102,용두동,705,11230,2854
11170121,용문동,151,11170,2890
11170106,용산동1가,136,11170,2911
11170102,용산동2가,146,11170,2901
11170126,용산동3가,152,11170,2889
11170103,용산동4가,158,11170,2885
11170127,용산동5가,143,11170,2904
11170135,용산동6가,153,11170,2888
11650103,우면동,53,11650,2656
11305104,우이동,35,11305,2805
11110132,운니동,331,11110,3047
11110159,원남동,334,11110,3044
11110149,원서동,300,11110,3064
11650104,원지동,706,11650,2652
11170112,원효로1가,139,11170,2908
11170113,원효로2가,144,11170,2903
11170117,원효로3가,149,11170,2892
11170118,원효로4가,161,11170,2896
11350102,월계동,36,11350,2794
11680113,율현동,1041,11680,2639
11140104,을지로1가,295,11140,2957
11140105,을지로2가,296,11140,2956
11140155,을지로3가,300,11140,2952
11140150,을지로4가,305,11140,2990
11140151,을지로5가,301,11140,2994
11140148,을지로6가,298,11140,2954
11140149,을지로7가,293,11140,2959
11200108,응봉동,3706,11200,2873
11380107,응암동,50,11380,2791
11140169,의주로1가,330,11140,2934
11140172,의주로2가,329,11140,2935
11230110,이문동,1025,11230,2857
11170129,이촌동,155,11170,2897
11170130,이태원동,131,11170,2916
11110165,이화동,324,11110,3034
11110133,익선동,343,11110,3022
11110136,인사동,353,11110,3012
11110157,인의동,348,11110,3017
11140160,인현동1가,344,11140,2923
11140134,인현동2가,333,11140,2931
11680114,일원동,375,11680,2644
11140156,입정동,315,11140,2980
11680112,자곡동,705,11680,2638
11215105,자양동,39,11215,2861
11710101,잠실동,51,11710,2634
11650106,잠원동,49,11650,2660
11140109,장교동,316,11140,2929
11110154,장사동,368,11110,2997
11230106,장안동,450,11230,2852
11290138,장위동,431,11290,2830
11710109,장지동,3265,11710,2625
11140143,장충동1가,346,11140,2921
11140144,장충동2가,345,11140,2922
11110147,재동,320,11110,3067
11140131,저동1가,331,11140,2933
11140161,저동2가,334,11140,2930
11110107,적선동,337,11110,3041
11230104,전농동,1346,11230,2851
11140167,정동,282,11140,2970
11290133,정릉동,1409,11290,5266
11230103,제기동,372,11230,2858
11110126,종로1가,387,11110,3008
11110138,종로2가,336,11110,3042
11110156,종로3가,365,11110,3000
11110161,종로4가,364,11110,3001
11110163,종로5가,355,11110,3010
11110164,종로6가,372,11110,3026
11290135,종암동,409,11290,2842
11140152,주교동,314,11140,2981
11170134,주성동,160,11170,2919
11140141,주자동,302,11140,2993
11350106,중계동,34,11350,2796
11215101,중곡동,33,11215,2867
11440126,중동,4259,11440,2750
11140171,중림동,280,11140,2972
11110125,중학동,339,11110,3039
11260103,중화동,38,11260,2845
11380110,증산동,56,11380,2787
11380114,진관동,66,11380,2784
11320107,창동,35,11320,2799
11110105,창성동,316,11110,3071
11110174,창신동,313,11110,3051
11440114,창전동,2338,11440,2747
11410116,창천동,397,11410,2772
11410106,천연동,395,11410,2774
11530111,천왕동,1346,11530,5218
11740109,천호동,353,11740,2617
11680104,청담동,370,11680,2649
11230107,청량리동,376,11230,2855
11170116,청암동,150,11170,2891
11110101,청운동,296,11110,3077
11110122,청진동,388,11110,3029
11170109,청파동1가,132,11170,2915
11170110,청파동2가,135,11170,2912
11170111,청파동3가,138,11170,2909
11110112,체부동,323,11110,3035
11140159,초동,340,11140,2942
11140124,충무로1가,311,11140,2984
11140125,충무로2가,310,11140,2985
11140158,충무로3가,343,11140,2939
11140132,충무로4가,341,11140,2941
11140133,충무로5가,342,11140,2940
11110167,충신동,375,11110,2995
11140170,충정로1가,299,11140,2953
11410101,충정로2가,401,11410,2768
11410102,충정로3가,391,11410,2777
11140103,태평로1가,275,11140,2977
11140114,태평로2가,306,11140,2989
11440106,토정동,720,11440,2738
11110106,통의동,321,11110,3037
11110108,통인동,318,11110,3069
11110139,팔판동,308,11110,3056
11110177,평동,366,11110,2999
11110183,평창동,291,11110,3073
11710103,풍납동,53,11710,2632
11140137,필동1가,319,11140,2926
11140138,필동2가,304,11140,2991
11140139,필동3가,303,11140,2992
11110113,필운동,325,11110,3033
11350104,하계동,35,11350,2795
11200102,하왕십리동,3700,11200,2881
11290136,하월곡동,404,11290,2812
11440116,하중동,2659,11440,2756
11170124,한강로1가,142,11170,2905
11170125,한강로2가,148,11170,2899
11170128,한강로3가,141,11170,2906
11170131,한남동,162,11170,2895
11410103,합동,398,11410,2771
11440122,합정동,2677,11440,2743
11530112,항동,52,11530,2717
11200107,행당동,3705,11200,2877
11110181,행촌동,1028,11110,3045
11440112,현석동,4258,11440,2759
11410109,현저동,396,11410,2773
11110169,혜화동,293,11110,3080
11410118,홍은동,385,11410,2781
11200103,홍익동,3701,11200,2880
11410111,홍제동,394,11410,2775
11110185,홍지동,374,11110,2996
11110179,홍파동,358,11110,3007
11500103,화곡동,1025,11500,2731
11110143,화동,311,11110,3053
11215107,화양동,38,11215,2862
11140165,황학동,285,11140,2967
11230108,회기동,369,11230,2859
11140121,회현동1가,277,11140,2975
11140122,회현동2가,328,11140,2936
11140123,회현동3가,325,11140,2948
11110104,효자동,309,11110,3055
11110162,효제동,345,11110,3020
11170119,효창동,164,11170,2893
11170101,후암동,154,11170,2898
11110150,훈정동,332,11110,3046
11230109,휘경동,498,11230,2856
11590105,흑석동,54,11590,2668
11140163,흥인동,284,11140,2968
