EMD_CD,EMD_NM,TAXI_CNT
11710107,가락동,2774.0
11530103,가리봉동,92.0
11545101,가산동,156.0
11500104,가양동,13316.0
11110146,가회동,0.0
11170104,갈월동,0.0
11380104,갈현동,130.0
11740110,강일동,4199.0
11530107,개봉동,1845.0
11680103,개포동,2073.0
11500110,개화동,0.0
11710113,거여동,281.0
11110129,견지동,0.0
11110134,경운동,0.0
11110148,계동,0.0
11740102,고덕동,6269.0
11530106,고척동,2955.0
11440102,공덕동,308.0
11350103,공릉동,6581.0
11110127,공평동,0.0
11500108,공항동,594.0
11500111,과해동,0.0
11110155,관수동,0.0
11110135,관철동,0.0
11110128,관훈동,0.0
11215104,광장동,12.0
11140145,광희동1가,375.0
11140146,광희동2가,0.0
11110176,교남동,2400.0
11110180,교북동,0.0
11110182,구기동,0.0
11530102,구로동,11321.0
11380105,구산동,8256.0
11440113,구수동,0.0
11215103,구의동,12505.0
11215109,군자동,53.0
11530109,궁동,2426.0
11110103,궁정동,3696.0
11110131,권농동,0.0
11200109,금호동1가,34.0
11200110,금호동2가,10.0
11200111,금호동3가,0.0
11200112,금호동4가,0.0
11740105,길동,5598.0
11290134,길음동,5990.0
11110137,낙원동,0.0
11410120,남가좌동,2358.0
11140106,남대문로1가,0.0
11140115,남대문로2가,0.0
11140116,남대문로3가,0.0
11140117,남대문로4가,0.0
11140118,남대문로5가,0.0
11140128,남산동1가,0.0
11140129,남산동2가,1907.0
11140130,남산동3가,0.0
11170105,남영동,1282.0
11140112,남창동,0.0
11140140,남학동,0.0
11620103,남현동,0.0
11650109,내곡동,1885.0
11500106,내발산동,4427.0
11110118,내수동,0.0
11110114,내자동,0.0
11410105,냉천동,0.0
11440110,노고산동,0.0
11590101,노량진동,270.0
11380102,녹번동,253.0
11680108,논현동,25.0
11110109,누상동,0.0
11110110,누하동,0.0
11215102,능동,76.0
11140102,다동,0.0
11230105,답십리동,1069.0
11560117,당산동,0.0
11560111,당산동1가,153.0
11560112,당산동2가,0.0
11560113,당산동3가,0.0
11560114,당산동4가,46.0
11560115,당산동5가,0.0
11560116,당산동6가,0.0
11440118,당인동,0.0
11110117,당주동,0.0
11560133,대림동,4661.0
11590108,대방동,1240.0
11410113,대신동,0.0
11380106,대조동,518.0
11680106,대치동,270.0
11410112,대현동,0.0
11440108,대흥동,3764.0
11680118,도곡동,2852.0
11110116,도렴동,0.0
11560118,도림동,51.0
11320108,도봉동,9526.0
11200104,도선동,0.0
11170120,도원동,0.0
11440104,도화동,73.0
11545102,독산동,4029.0
11290103,돈암동,50.0
11110153,돈의동,0.0
11440121,동교동,0.0
11170132,동빙고동,0.0
11290116,동선동1가,48.0
11290117,동선동2가,0.0
11290118,동선동3가,0.0
11290119,동선동4가,0.0
11290120,동선동5가,0.0
11290104,동소문동1가,0.0
11290105,동소문동2가,0.0
11290106,동소문동3가,0.0
11290107,동소문동4가,0.0
11290108,동소문동5가,0.0
11290109,동소문동6가,0.0
11290110,동소문동7가,0.0
11110168,동숭동,0.0
11170107,동자동,0.0
11590106,동작동,0.0
11740106,둔촌동,6713.0
11500102,등촌동,9980.0
11500105,마곡동,0.0
11200105,마장동,3731.0
11710114,마천동,167.0
11440107,마포동,0.0
11140173,만리동1가,0.0
11140174,만리동2가,0.0
11260105,망우동,2747.0
11440123,망원동,3929.0
11260101,면목동,4265.0
11140126,명동1가,0.0
11140127,명동2가,0.0
11110170,명륜1가,0.0
11110171,명륜2가,0.0
11110173,명륜3가,0.0
11110172,명륜4가,0.0
11740101,명일동,2226.0
11470102,목동,4496.0
11110151,묘동,0.0
11140101,무교동,0.0
11110187,무악동,0.0
11140164,무학동,0.0
11260104,묵동,3217.0
11140136,묵정동,0.0
11560119,문래동1가,0.0
11560120,문래동2가,0.0
11560121,문래동3가,114.0
11560122,문래동4가,0.0
11560123,문래동5가,0.0
11560124,문래동6가,0.0
11170122,문배동,0.0
11710108,문정동,512.0
11410104,미근동,0.0
11305101,미아동,6962.0
11650107,반포동,3010.0
11650101,방배동,194.0
11140153,방산동,0.0
11710111,방이동,1668.0
11320106,방학동,3996.0
11500109,방화동,16855.0
11305102,번동,11148.0
11170136,보광동,12.0
11290130,보문동1가,0.0
11290131,보문동2가,0.0
11290132,보문동3가,0.0
11290126,보문동4가,0.0
11290127,보문동5가,0.0
11290128,보문동6가,0.0
11290129,보문동7가,103.0
11590104,본동,0.0
11140119,봉래동1가,0.0
11140120,봉래동2가,0.0
11410115,봉원동,0.0
11110152,봉익동,0.0
11620101,봉천동,9927.0
11110184,부암동,25.0
11410119,북가좌동,881.0
11410110,북아현동,3174.0
11140113,북창동,0.0
11380103,불광동,474.0
11110144,사간동,0.0
11200106,사근동,1450.0
11590107,사당동,21.0
11110115,사직동,1058.0
11140157,산림동,0.0
11170115,산천동,6.0
11140107,삼각동,0.0
11290111,삼선동1가,0.0
11290112,삼선동2가,0.0
11290113,삼선동3가,0.0
11290114,삼선동4가,953.0
11290115,삼선동5가,0.0
11680105,삼성동,1327.0
11710106,삼전동,0.0
11110140,삼청동,10.0
11350105,상계동,37764.0
11590103,상도1동,0.0
11590102,상도동,1460.0
11260102,상봉동,2426.0
11440115,상수동,0.0
11440127,상암동,11667.0
11200101,상왕십리동,4660.0
11290137,상월곡동,2002.0
11740103,상일동,6563.0
11170108,서계동,0.0
11440120,서교동,2342.0
11110123,서린동,0.0
11170133,서빙고동,691.0
11140166,서소문동,0.0
11650108,서초동,5894.0
11290139,석관동,589.0
11710105,석촌동,77.0
11740108,성내동,186.0
11290101,성북동,66.0
11290102,성북동1가,0.0
11440125,성산동,19926.0
11200114,성수동1가,505.0
11200115,성수동2가,29.0
11680111,세곡동,6959.0
11110119,세종로,0.0
11110142,소격동,0.0
11140111,소공동,62.0
11110178,송월동,0.0
11200118,송정동,0.0
11710104,송파동,12.0
11110145,송현동,0.0
11380101,수색동,0.0
11680115,수서동,6563.0
11110124,수송동,0.0
11305103,수유동,14693.0
11140110,수표동,0.0
11140108,수하동,0.0
11140168,순화동,0.0
11110175,숭인동,42.0
11545103,시흥동,474.0
11170123,신계동,0.0
11440103,신공덕동,0.0
11110102,신교동,0.0
11560132,신길동,165.0
11260106,신내동,12981.0
11140162,신당동,56.0
11590109,신대방동,10842.0
11530101,신도림동,222.0
11620102,신림동,1209.0
11110120,신문로1가,0.0
11110121,신문로2가,0.0
11680107,신사동(강남구),216.0
11380109,신사동(은평구),219.0
11230101,신설동,2197.0
11440111,신수동,0.0
11110186,신영동,0.0
11650111,신원동,36.0
11470103,신월동,152.0
11440117,신정동(마포구),0.0
11470101,신정동(양천구),19587.0
11170114,신창동,0.0
11710102,신천동,421.0
11410114,신촌동,21597.0
11140147,쌍림동,0.0
11320105,쌍문동,3318.0
11440101,아현동,76.0
11110141,안국동,0.0
11290121,안암동1가,0.0
11290122,안암동2가,2316.0
11290123,안암동3가,0.0
11290124,안암동4가,0.0
11290125,안암동5가,0.0
11740107,암사동,319.0
11680110,압구정동,245.0
11650102,양재동,186.0
11560134,양평동,0.0
11560125,양평동1가,34.0
11560126,양평동2가,0.0
11560127,양평동3가,0.0
11560128,양평동4가,145.0
11560129,양평동5가,0.0
11560130,양평동6가,0.0
11560131,양화동,0.0
11560110,여의도동,11802.0
11680101,역삼동,3371.0
11380108,역촌동,19849.0
11110166,연건동,0.0
11440124,연남동,0.0
11110160,연지동,0.0
11410117,연희동,10815.0
11650110,염곡동,0.0
11440109,염리동,0.0
11500101,염창동,277.0
11560101,영등포동,12001.0
11560102,영등포동1가,0.0
11560103,영등포동2가,0.0
11560104,영등포동3가,0.0
11560105,영등포동4가,0.0
11560106,영등포동5가,0.0
11560107,영등포동6가,0.0
11560108,영등포동7가,0.0
11560109,영등포동8가,0.0
11410108,영천동,0.0
11140135,예관동,0.0
11140142,예장동,0.0
11110158,예지동,0.0
11500112,오곡동,0.0
11710112,오금동,3192.0
11530108,오류동,4636.0
11500113,오쇠동,0.0
11140154,오장동,0.0
11200113,옥수동,5.0
11110111,옥인동,0.0
11410107,옥천동,0.0
11530110,온수동,0.0
11110130,와룡동,0.0
11500107,외발산동,0.0
11440105,용강동,0.0
11200122,용답동,10.0
11230102,용두동,795.0
11170121,용문동,0.0
11170106,용산동1가,0.0
11170102,용산동2가,0.0
11170126,용산동3가,0.0
11170103,용산동4가,0.0
11170127,용산동5가,0.0
11170135,용산동6가,0.0
11650103,우면동,4341.0
11305104,우이동,449.0
11110132,운니동,0.0
11110159,원남동,0.0
11110149,원서동,0.0
11650104,원지동,0.0
11170112,원효로1가,0.0
11170113,원효로2가,0.0
11170117,원효로3가,0.0
11170118,원효로4가,0.0
11350102,월계동,16161.0
11680113,율현동,0.0
11140104,을지로1가,0.0
11140105,을지로2가,0.0
11140155,을지로3가,7.0
11140150,을지로4가,0.0
11140151,을지로5가,0.0
11140148,을지로6가,0.0
11140149,을지로7가,0.0
11200108,응봉동,0.0
11380107,응암동,5408.0
11140169,의주로1가,0.0
11140172,의주로2가,0.0
11230110,이문동,280.0
11170129,이촌동,0.0
11170130,이태원동,0.0
11110165,이화동,11160.0
11110133,익선동,6650.0
11110136,인사동,0.0
11110157,인의동,0.0
11140160,인현동1가,0.0
11140134,인현동2가,0.0
11680114,일원동,5844.0
11140156,입정동,0.0
11680112,자곡동,0.0
11215105,자양동,312.0
11710101,잠실동,1023.0
11650106,잠원동,146.0
11140109,장교동,0.0
11110154,장사동,0.0
11230106,장안동,403.0
11290138,장위동,398.0
11710109,장지동,5017.0
11140143,장충동1가,58.0
11140144,장충동2가,0.0
11110147,재동,0.0
11140131,저동1가,0.0
11140161,저동2가,0.0
11110107,적선동,0.0
11230104,전농동,902.0
11140167,정동,0.0
11290133,정릉동,40.0
11230103,제기동,96.0
11110126,종로1가,0.0
11110138,종로2가,0.0
11110156,종로3가,0.0
11110161,종로4가,0.0
11110163,종로5가,0.0
11110164,종로6가,0.0
11290135,종암동,3157.0
11140152,주교동,0.0
11170134,주성동,0.0
11140141,주자동,0.0
11350106,중계동,14072.0
11215101,중곡동,263.0
11440126,중동,0.0
11140171,중림동,11.0
11110125,중학동,0.0
11260103,중화동,248.0
11380110,증산동,25.0
11380114,진관동,7052.0
11320107,창동,5252.0
11110105,창성동,0.0
11110174,창신동,109.0
11440114,창전동,96.0
11410116,창천동,0.0
11410106,천연동,15.0
11530111,천왕동,0.0
11740109,천호동,6369.0
11680104,청담동,43.0
11230107,청량리동,203.0
11170116,청암동,0.0
11110101,청운동,0.0
11110122,청진동,0.0
11170109,청파동1가,0.0
11170110,청파동2가,17.0
11170111,청파동3가,0.0
11110112,체부동,0.0
11140159,초동,0.0
11140124,충무로1가,0.0
11140125,충무로2가,0.0
11140158,충무로3가,0.0
11140132,충무로4가,0.0
11140133,충무로5가,0.0
11110167,충신동,0.0
11140170,충정로1가,0.0
11410101,충정로2가,0.0
11410102,충정로3가,0.0
11140103,태평로1가,0.0
11140114,태평로2가,0.0
11440106,토정동,0.0
11110106,통의동,0.0
11110108,통인동,0.0
11110139,팔판동,0.0
11110177,평동,0.0
11110183,평창동,184.0
11710103,풍납동,7882.0
11140137,필동1가,0.0
11140138,필동2가,24.0
11140139,필동3가,0.0
11110113,필운동,0.0
11350104,하계동,22843.0
11200102,하왕십리동,49.0
11290136,하월곡동,133.0
11440116,하중동,0.0
11170124,한강로1가,0.0
11170125,한강로2가,1367.0
11170128,한강로3가,0.0
11170131,한남동,111.0
11410103,합동,0.0
11440122,합정동,37.0
11530112,항동,0.0
11200107,행당동,545.0
11110181,행촌동,0.0
11440112,현석동,0.0
11410109,현저동,0.0
11110169,혜화동,86.0
11410118,홍은동,3608.0
11200103,홍익동,0.0
11410111,홍제동,177.0
11110185,홍지동,0.0
11110179,홍파동,0.0
11500103,화곡동,3442.0
11110143,화동,0.0
11215107,화양동,2131.0
11140165,황학동,34.0
11230108,회기동,2847.0
11140121,회현동1가,1127.0
11140122,회현동2가,0.0
11140123,회현동3가,0.0
11110104,효자동,0.0
11110162,효제동,43.0
11170119,효창동,816.0
11170101,후암동,0.0
11110150,훈정동,0.0
11230109,휘경동,5731.0
11590105,흑석동,2857.0
11140163,흥인동,0.0
