EMD_NM,EMD_CD,SHOP_CNT
가락동,11710107,6
가리봉동,11530103,0
가산동,11545101,6
가양동,11500104,4
가회동,11110146,0
갈월동,11170104,0
갈현동,11380104,2
강일동,11740110,0
개봉동,11530107,5
개포동,11680103,2
개화동,11500110,0
거여동,11710113,1
견지동,11110129,0
경운동,11110134,0
계동,11110148,0
고덕동,11740102,1
고척동,11530106,10
공덕동,11440102,4
공릉동,11350103,4
공평동,11110127,0
공항동,11500108,0
과해동,11500111,0
관수동,11110155,0
관철동,11110135,0
관훈동,11110128,0
광장동,11215104,1
광희동1가,11140145,0
광희동2가,11140146,0
교남동,11110176,0
교북동,11110180,0
구기동,11110182,0
구로동,11530102,19
구산동,11380105,2
구수동,11440113,1
구의동,11215103,8
군자동,11215109,1
궁동,11530109,0
궁정동,11110103,0
권농동,11110131,0
금호동1가,11200109,1
금호동2가,11200110,0
금호동3가,11200111,2
금호동4가,11200112,0
길동,11740105,4
길음동,11290134,14
낙원동,11110137,1
남가좌동,11410120,2
남대문로1가,11140106,0
남대문로2가,11140115,1
남대문로3가,11140116,0
남대문로4가,11140117,0
남대문로5가,11140118,0
남산동1가,11140128,0
남산동2가,11140129,0
남산동3가,11140130,0
남영동,11170105,1
남창동,11140112,4
남학동,11140140,0
남현동,11620103,1
내곡동,11650109,0
내발산동,11500106,2
내수동,11110118,0
내자동,11110114,0
냉천동,11410105,0
노고산동,11440110,2
노량진동,11590101,0
녹번동,11380102,0
논현동,11680108,9
누상동,11110109,0
누하동,11110110,0
능동,11215102,0
다동,11140102,0
답십리동,11230105,2
당산동,11560117,0
당산동1가,11560111,1
당산동2가,11560112,1
당산동3가,11560113,1
당산동4가,11560114,0
당산동5가,11560115,1
당산동6가,11560116,0
당인동,11440118,0
당주동,11110117,0
대림동,11560133,6
대방동,11590108,3
대신동,11410113,0
대조동,11380106,4
대치동,11680106,6
대현동,11410112,1
대흥동,11440108,1
도곡동,11680118,2
도렴동,11110116,0
도림동,11560118,2
도봉동,11320108,2
도선동,11200104,0
도원동,11170120,0
도화동,11440104,1
독산동,11545102,11
돈암동,11290103,5
돈의동,11110153,0
동교동,11440121,4
동빙고동,11170132,0
동선동1가,11290116,1
동선동2가,11290117,0
동선동3가,11290118,0
동선동4가,11290119,0
동선동5가,11290120,0
동소문동1가,11290104,0
동소문동2가,11290105,0
동소문동3가,11290106,0
동소문동4가,11290107,0
동소문동5가,11290108,1
동소문동6가,11290109,0
동소문동7가,11290110,0
동숭동,11110168,0
동자동,11170107,0
동작동,11590106,0
둔촌동,11740106,0
등촌동,11500102,2
마곡동,11500105,3
마장동,11200105,2
마천동,11710114,2
마포동,11440107,0
만리동1가,11140173,0
만리동2가,11140174,1
망우동,11260105,2
망원동,11440123,2
면목동,11260101,4
명동1가,11140126,0
명동2가,11140127,2
명륜1가,11110170,0
명륜2가,11110171,0
명륜3가,11110173,0
명륜4가,11110172,0
명일동,11740101,5
목동,11470102,14
묘동,11110151,0
무교동,11140101,0
무악동,11110187,0
무학동,11140164,0
묵동,11260104,1
묵정동,11140136,0
문래동1가,11560119,0
문래동2가,11560120,0
문래동3가,11560121,4
문래동4가,11560122,0
문래동5가,11560123,0
문래동6가,11560124,0
문배동,11170122,0
문정동,11710108,5
미근동,11410104,0
미아동,11305101,11
반포동,11650107,7
방배동,11650101,5
방산동,11140153,0
방이동,11710111,3
방학동,11320106,4
방화동,11500109,5
번동,11305102,2
보광동,11170136,1
보문동1가,11290130,0
보문동2가,11290131,0
보문동3가,11290132,0
보문동4가,11290126,2
보문동5가,11290127,0
보문동6가,11290128,1
보문동7가,11290129,1
본동,11590104,0
봉래동1가,11140119,0
봉래동2가,11140120,3
봉원동,11410115,0
봉익동,11110152,0
봉천동,11620101,14
부암동,11110184,0
북가좌동,11410119,2
북아현동,11410110,0
북창동,11140113,0
불광동,11380103,7
사간동,11110144,0
사근동,11200106,0
사당동,11590107,5
사직동,11110115,0
산림동,11140157,1
산천동,11170115,0
삼각동,11140107,0
삼선동1가,11290111,1
삼선동2가,11290112,0
삼선동3가,11290113,0
삼선동4가,11290114,0
삼선동5가,11290115,0
삼성동,11680105,9
삼전동,11710106,1
삼청동,11110140,0
상계동,11350105,6
상도1동,11590103,0
상도동,11590102,6
상봉동,11260102,4
상수동,11440115,0
상암동,11440127,0
상왕십리동,11200101,0
상월곡동,11290137,0
상일동,11740103,0
서계동,11170108,11
서교동,11440120,3
서린동,11110123,2
서빙고동,11170133,0
서소문동,11140166,0
서초동,11650108,10
석관동,11290139,4
석촌동,11710105,2
성내동,11740108,5
성북동,11290101,0
성북동1가,11290102,0
성산동,11440125,2
성수동1가,11200114,1
성수동2가,11200115,3
세곡동,11680111,0
세종로,11110119,0
소격동,11110142,0
소공동,11140111,2
송월동,11110178,0
송정동,11200118,0
송파동,11710104,3
송현동,11110145,0
수색동,11380101,2
수서동,11680115,1
수송동,11110124,0
수유동,11305103,10
수표동,11140110,0
수하동,11140108,0
순화동,11140168,0
숭인동,11110175,2
시흥동,11545103,8
신계동,11170123,1
신공덕동,11440103,1
신교동,11110102,0
신길동,11560132,5
신내동,11260106,2
신당동,11140162,20
신대방동,11590109,11
신도림동,11530101,2
신림동,11620102,8
신문로1가,11110120,1
신문로2가,11110121,0
신사동(강남구),11680107,1
신사동(은평구),11380109,4
신설동,11230101,2
신수동,11440111,2
신영동,11110186,0
신원동,11650111,0
신월동,11470103,5
신정동(양천구),11470101,7
신정동,11440117,0
신창동,11170114,0
신천동,11710102,8
신촌동,11410114,1
쌍림동,11140147,0
쌍문동,11320105,2
아현동,11440101,0
안국동,11110141,0
안암동1가,11290121,0
안암동2가,11290122,0
안암동3가,11290123,0
안암동4가,11290124,0
안암동5가,11290125,0
암사동,11740107,4
압구정동,11680110,5
양재동,11650102,3
양평동,11560134,0
양평동1가,11560125,2
양평동2가,11560126,0
양평동3가,11560127,3
양평동4가,11560128,0
양평동5가,11560129,0
양평동6가,11560130,0
양화동,11560131,0
여의도동,11560110,5
역삼동,11680101,7
역촌동,11380108,4
연건동,11110166,0
연남동,11440124,2
연지동,11110160,0
연희동,11410117,1
염곡동,11650110,0
염리동,11440109,1
염창동,11500101,3
영등포동,11560101,1
영등포동1가,11560102,0
영등포동2가,11560103,0
영등포동3가,11560104,0
영등포동4가,11560105,2
영등포동5가,11560106,6
영등포동6가,11560107,0
영등포동7가,11560108,0
영등포동8가,11560109,1
영천동,11410108,0
예관동,11140135,0
예장동,11140142,0
예지동,11110158,2
오곡동,11500112,0
오금동,11710112,2
오류동,11530108,3
오쇠동,11500113,0
오장동,11140154,1
옥수동,11200113,2
옥인동,11110111,0
옥천동,11410107,0
온수동,11530110,0
와룡동,11110130,0
외발산동,11500107,0
용강동,11440105,1
용답동,11200122,2
용두동,11230102,4
용문동,11170121,0
용산동1가,11170106,0
용산동2가,11170102,0
용산동3가,11170126,0
용산동4가,11170103,0
용산동5가,11170127,0
용산동6가,11170135,3
우면동,11650103,0
우이동,11305104,0
운니동,11110132,0
원남동,11110159,0
원서동,11110149,0
원지동,11650104,0
원효로1가,11170112,1
원효로2가,11170113,0
원효로3가,11170117,1
원효로4가,11170118,0
월계동,11350102,2
율현동,11680113,0
을지로1가,11140104,0
을지로2가,11140105,0
을지로3가,11140155,0
을지로4가,11140150,1
을지로5가,11140151,0
을지로6가,11140148,10
을지로7가,11140149,1
응봉동,11200108,0
응암동,11380107,6
의주로1가,11140169,0
의주로2가,11140172,0
이문동,11230110,5
이촌동,11170129,0
이태원동,11170130,2
이화동,11110165,0
익선동,11110133,0
인사동,11110136,0
인의동,11110157,2
인현동1가,11140160,0
인현동2가,11140134,0
일원동,11680114,1
입정동,11140156,0
자곡동,11680112,0
자양동,11215105,7
잠실동,11710101,10
잠원동,11650106,6
장교동,11140109,1
장사동,11110154,0
장안동,11230106,5
장위동,11290138,4
장지동,11710109,0
장충동1가,11140143,0
장충동2가,11140144,0
재동,11110147,0
저동1가,11140131,0
저동2가,11140161,0
적선동,11110107,0
전농동,11230104,5
정동,11140167,0
정릉동,11290133,1
제기동,11230103,5
종로1가,11110126,1
종로2가,11110138,0
종로3가,11110156,0
종로4가,11110161,0
종로5가,11110163,0
종로6가,11110164,3
종암동,11290135,1
주교동,11140152,1
주성동,11170134,0
주자동,11140141,0
중계동,11350106,6
중곡동,11215101,7
중동,11440126,0
중림동,11140171,0
중학동,11110125,0
중화동,11260103,2
증산동,11380110,0
진관동,11380114,2
창동,11320107,7
창성동,11110105,0
창신동,11110174,3
창전동,11440114,1
창천동,11410116,1
천연동,11410106,0
천왕동,11530111,0
천호동,11740109,6
청담동,11680104,3
청량리동,11230107,1
청암동,11170116,0
청운동,11110101,0
청진동,11110122,0
청파동1가,11170109,0
청파동2가,11170110,0
청파동3가,11170111,0
체부동,11110112,0
초동,11140159,0
충무로1가,11140124,2
충무로2가,11140125,2
충무로3가,11140158,0
충무로4가,11140132,1
충무로5가,11140133,0
충신동,11110167,0
충정로1가,11140170,0
충정로2가,11410101,0
충정로3가,11410102,0
태평로1가,11140103,0
태평로2가,11140114,0
토정동,11440106,0
통의동,11110106,0
통인동,11110108,0
팔판동,11110139,0
평동,11110177,0
평창동,11110183,0
풍납동,11710103,2
필동1가,11140137,0
필동2가,11140138,0
필동3가,11140139,0
필운동,11110113,0
하계동,11350104,1
하왕십리동,11200102,1
하월곡동,11290136,5
하중동,11440116,0
한강로1가,11170124,1
한강로2가,11170125,4
한강로3가,11170128,5
한남동,11170131,1
합동,11410103,0
합정동,11440122,1
항동,11530112,0
행당동,11200107,6
행촌동,11110181,0
현석동,11440112,0
현저동,11410109,0
혜화동,11110169,0
홍은동,11410118,0
홍익동,11200103,1
홍제동,11410111,4
홍지동,11110185,0
홍파동,11110179,0
화곡동,11500103,8
화동,11110143,0
화양동,11215107,2
황학동,11140165,3
회기동,11230108,4
회현동1가,11140121,2
회현동2가,11140122,0
회현동3가,11140123,0
효자동,11110104,0
효제동,11110162,0
효창동,11170119,0
후암동,11170101,0
훈정동,11110150,0
휘경동,11230109,0
흑석동,11590105,1
흥인동,11140163,1
