사업장명,모집직종,구인인원,고용형태,임금형태,임금,입사형태,요구경력,요구학력,사업장 주소,GU_NM,EMD_NM,Latitude,Longitude
명지전문대학,직업상담사,1,계약직,연봉,"26,000,000",경력,1년0개월,초대졸,서울특별시 서대문구 가좌로 134 (홍은동),서대문구,홍은동,37.5846465,126.9251874
그린내,물건·이삿짐 운반원,1,상용직,월급,"1,746,000",무관,무관,무관,서울특별시 서대문구 명지2길 14 (홍은동),서대문구,홍은동,37.583128,126.9277375
그린내,종이제품 생산기계 조작원,1,상용직,월급,"1,646,000",무관,무관,무관,서울특별시 서대문구 명지2길 14 (홍은동),서대문구,홍은동,37.583128,126.9277375
씨엔티테크(주),웹 개발자(웹 엔지니어·웹 프로그래머),1,계약직,연봉,"26,000,000",경력,1년0개월,초대졸,서울특별시 서대문구 증가로29길 35씨엔티테크빌딩 (북가좌동),서대문구,북가좌동,37.5813374,126.9117534
케이지비기업이전서비스,경리 사무원,1,상용직,월급,"1,900,000",무관,무관,무관,서울특별시 서초구 논현로13길 101층 (양재동),서초구,양재동,37.4722534,127.0496433
주식회사 명문코리아,청소원,1,계약직,월급,"2,070,000",무관,무관,무관,"서울특별시 서초구 반포대로 892층(서초동, 유민빌딩) (서초동)",서초구,서초동,37.4879314,127.0091261
(주)테크프러스,출판·자료 편집 사무원,1,계약직,월급,"1,910,000",무관,무관,초대졸,서울특별시 서초구 반포대로24길 42-4201호 (서초동),서초구,서초동,37.4889996,127.0108963
세무법인 다솔더블유엠센터,회계 사무원(회계·세무 사무소),1,상용직,연봉,"28,000,000",경력,4년0개월,무관,서울특별시 서초구 반포대로5길 114층 (서초동),서초구,서초동,37.4809911,127.012517
삼성화재해상보험(주),사서,1,계약직,월급,"1,285,200",무관,무관,무관,서울특별시 서초구 서초대로74길 14삼성화재 (서초동),서초구,서초동,37.4959255,127.0261441
(주)재인물산,창고 관리원(자재 검수원 포함),1,상용직,월급,"2,000,000",무관,무관,무관,서울특별시 서초구 서초중앙로29길 16그린빌딩 4층 재인물산 (반포동),서초구,반포동,37.4989183,127.0107095
(주)재인물산,지게차 운전원,1,상용직,월급,"2,100,000",무관,무관,무관,서울특별시 서초구 서초중앙로29길 16그린빌딩 4층 재인물산 (반포동),서초구,반포동,37.4989183,127.0107095
(주)재인물산,창고 관리원(자재 검수원 포함),1,상용직,월급,"1,900,000",무관,무관,무관,서울특별시 서초구 서초중앙로29길 16그린빌딩 4층 재인물산 (반포동),서초구,반포동,37.4989183,127.0107095
주식회사 제이앤피21,웹 디자이너,2,계약직,월급,"1,000,000",무관,무관,고졸,서울특별시 서초구 서초중앙로6길 17웰스빌딩 2층,서초구,서초동,37.4864552,127.0166368
주식회사 제이앤피21,경리 사무원,1,계약직,월급,"1,950,000",경력,1년0개월,고졸,서울특별시 서초구 서초중앙로6길 17웰스빌딩 2층,서초구,서초동,37.4864552,127.0166368
롯데건설(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,계약직,월급,"1,500,000",무관,무관,무관,서울특별시 서초구 잠원로14길 29(잠원동),서초구,잠원동,37.5178107,127.0154472
롯데건설(주),모니터 요원,1,계약직,시급,"8,350",무관,무관,무관,서울특별시 서초구 잠원로14길 29(잠원동),서초구,잠원동,37.5178107,127.0154472
롯데건설(주),산업 안전원 및 위험물 관리원,1,시간제,시급,"8,350",무관,무관,고졸,서울특별시 서초구 잠원로14길 29(잠원동),서초구,잠원동,37.5178107,127.0154472
대한무역투자진흥공사,사무 보조원(공공기관),10,계약직,월급,"1,850,000",무관,무관,고졸,서울특별시 서초구 헌릉로 13(염곡동),서초구,염곡동,37.4626705,127.0586179
주식회사아이제이인터내셔널,자재·구매·물류 사무원,1,상용직,연봉,"21,000,000",무관,무관,무관,서울특별시 성동구 무학로2길 10-4원일 빌딩 3층 (도선동),성동구,도선동,37.5641301,127.0308489
진일패키징,종이제품 생산기계 조작원,1,상용직,연봉,"22,000,000",무관,무관,무관,서울특별시 성동구 성수이로22길 43 (성수동2가),성동구,성수동2가,37.5437107,127.0618694
플레이스포 주식회사,총무 및 일반 사무원,1,계약직,연봉,"24,000,000",무관,무관,고졸,서울특별시 성동구 연무장7길 115층,성동구,성수동2가,37.5438046,127.0543237
성북장애인자립생활센터,그 외 사회복지 종사원,1,계약직,월급,"1,936,800",무관,무관,무관,서울특별시 성북구 보문로 134향수빌딩 2층 (보문동1가),성북구,보문동1가,37.5811284,127.0223501
주식회사엘에스건영,계기 검침원 및 가스 점검원,1,계약직,연봉,"30,000,000",무관,무관,무관,서울특별시 성북구 삼선교로24길 37성북빌딩 5층 501호 (삼선동5가),성북구,삼선동5가,37.5885362,127.0164332
승인산업주식회사,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,상용직,월급,"1,415,330",무관,무관,무관,"서울특별시 성북구 성북로4길 52스카이프라자 동관 1층 116호 (돈암동, 한신한진아파트)",성북구,돈암동,37.5959769,127.0126276
(주)국제안전시스템,아파트·빌라 경비원,1,계약직,월급,"1,830,000",무관,무관,무관,서울특별시 성북구 화랑로 286(석관동 3층),성북구,석관동,37.6082367,127.0620607
현대케어송파복지센터,재가 요양보호사,1,시간제,시급,"11,000",경력,1년개월,무관,서울특별시 송파구 동남로3길 17태성 202호 (가락동),송파구,가락동,37.4908531,127.1216025
윤창기공(주),건축안전·환경·품질·에너지관리 기술자,1,상용직,월급,"3,500,000",경력,2년0개월,무관,서울특별시 송파구 백제고분로41길 30윤창빌딩 (송파동),송파구,송파동,37.5086008,127.1067507
(주)비오워크,총무 및 일반 사무원,1,상용직,월급,"2,040,000",무관,무관,고졸,서울특별시 송파구 법원로11길 7C동 422호 (문정동),송파구,문정동,37.485195,127.119364
(주)비오워크,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",1,계약직,월급,"1,714,400",경력,1년0개월,무관,서울특별시 송파구 법원로11길 7C동 422호 (문정동),송파구,문정동,37.485195,127.119364
제상에스디(주),청소원,1,계약직,월급,"1,326,340",무관,무관,무관,서울특별시 송파구 새말로15길 14-1314 (문정동105)2층 201호 (문정동),송파구,문정동,37.4855576,127.1296374
주식회사 민고트리,사진작가 및 사진사,1,상용직,월급,"1,745,150",신입,무관,무관,서울특별시 송파구 송이로28길 23-1지하1층 (문정동),송파구,문정동,37.4893053,127.125151
웹비즈,웹 개발자(웹 엔지니어·웹 프로그래머),3,상용직,연봉,"22,000,000",무관,무관,무관,서울특별시 송파구 송파대로 167문정역테라타워 A동403호 (문정동),송파구,문정동,37.4875939,127.1191731
웹비즈,웹 디자이너,3,상용직,연봉,"22,000,000",무관,무관,무관,서울특별시 송파구 송파대로 167문정역테라타워 A동403호 (문정동),송파구,문정동,37.4875939,127.1191731
한국전기안전써비스(주),사무 보조원(일반사업체),2,상용직,월급,"1,745,150",무관,무관,무관,서울특별시 송파구 송파대로32길 8(가락동),송파구,가락동,37.4958908,127.1171419
(주)예원석재,건축 석공,1,상용직,월급,"2,000,000",경력,2년0개월,무관,서울특별시 송파구 송파대로48길 3 (송파동),송파구,송파동,37.508994,127.1106446
(주)한국공업엔지니어링,산업 안전원 및 위험물 관리원,2,상용직,연봉,"30,000,000",무관,무관,무관,서울특별시 송파구 오금로 471풍산빌딩 5층 (주)한국공업엔지니어링,송파구,거여동,37.4946299,127.1417334
(주)한국공업엔지니어링,산업 안전원 및 위험물 관리원,2,상용직,연봉,"30,000,000",무관,무관,무관,서울특별시 송파구 오금로 471풍산빌딩 5층 (주)한국공업엔지니어링,송파구,거여동,37.4946299,127.1417334
오픈핸즈주식회사,재무 사무원,1,계약직,연봉,"27,000,000",무관,무관,무관,서울특별시 송파구 올림픽로35길 123향군타워 16층 (신천동),송파구,신천동,37.5165854,127.1010554
(주)케이티에스솔루션스,기타 경호·보안 종사원,5,상용직,월급,"2,200,000",무관,무관,무관,서울특별시 송파구 위례성대로 61405호 (방이동),송파구,방이동,37.5132079,127.1229459
새롬교통(주),"노선버스 운전원(시내, 마을, 시외, 고속)",2,상용직,월급,"2,200,000",무관,무관,무관,서울특별시 송파구 헌릉로 869송파공영차고지2층 (장지동),송파구,장지동,37.4690753,127.1296813
(주)글로벌금융판매,보험 심사원 및 사무원,1,계약직,월급,"2,300,000",경력,2년0개월,고졸,서울특별시 영등포구 경인로 7751동410호 (글로벌금융판매) (문래동3가),영등포구,문래동3가,37.5146657,126.8984728
(주)제이엠커리어,시각 디자이너,1,계약직,월급,"2,000,000",무관,무관,초대졸,서울특별시 영등포구 경인로 775에이스하이테크시티 1동 908호 (문래동3가),영등포구,문래동3가,37.5147145,126.8989354
주식회사 젠스타서비스,건물용 냉난방 설비 조작원,1,계약직,월급,"2,059,300",무관,무관,무관,서울특별시 영등포구 국제금융로8길 27-8NH농협캐피탈 3층 젠스타서비스 (여의도동),영등포구,여의도동,37.5195811,126.9284393
한국장애포럼,시민단체 활동가,1,상용직,월급,"2,000,000",경력,3년0개월,대졸,서울특별시 영등포구 국회대로28길 17한얼빌딩 3층 (당산동3가),영등포구,당산동3가,37.4977089,126.9244767
세무회계 청안,회계 사무원(회계·세무 사무소),1,상용직,월급,"2,700,000",경력,5년0개월,무관,서울특별시 영등포구 국회대로74길 9삼보빌딩 606호 (여의도동),영등포구,여의도동,37.5304826,126.9213094
유니피플,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,계약직,월급,"1,100,000",무관,무관,무관,서울특별시 영등포구 버드나루로 1193층 305호 (당산동),영등포구,당산동,37.526359,126.907408
휴먼e솔루션,안내·접수원 및 전화교환원,1,상용직,월급,"2,100,000",무관,무관,무관,서울특별시 영등포구 선유로 231영창빌딩204호 (양평동4가),영등포구,양평동4가,37.533701,126.895618
엘림에스(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,시간제,월급,"1,306,107",무관,무관,무관,서울특별시 영등포구 양산로 16202호,영등포구,당산동1가,37.5242305,126.8953477
(주)경진관리,아파트 전기관리원,1,계약직,월급,"3,000,000",무관,무관,고졸,서울특별시 영등포구 양산로 90-4경진빌딩 (당산동2가),영등포구,당산동2가,37.5243312,126.8928925
(주)경진관리,청소원,1,계약직,월급,"1,415,330",무관,무관,무관,서울특별시 영등포구 양산로 90-4경진빌딩 (당산동2가),영등포구,당산동2가,37.5243312,126.8928925
(주)스카이빌,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,계약직,월급,"1,312,630",무관,무관,무관,서울특별시 영등포구 양산로 923층 (주)스카이빌 (당산동2가),영등포구,당산동2가,37.5223863,126.8938653
롯데푸드(주),식품 분야 단순 종사원,5,계약직,시급,"8,350",무관,무관,무관,서울특별시 영등포구 양평로21길 10롯데삼강 (양평동5가),영등포구,양평동5가,37.5373702,126.8928398
한영회계법인,총무 및 일반 사무원,20,상용직,시급,"8,350",무관,무관,무관,서울특별시 영등포구 여의공원로 111태영빌딩 8층 (여의도동),영등포구,여의도동,37.5297606,126.9257812
마리아성모요양병원,기타 보건·의료 서비스 종사원,1,상용직,연봉,"20,941,800",무관,무관,무관,서울특별시 영등포구 영중로 122마리아성모요양병원 (영등포동8가),영등포구,영등포동8가,37.5270728,126.906032
한국지체장애인협회중앙회,사무 보조원(일반사업체),1,계약직,시급,"8,350",무관,무관,고졸,서울특별시 영등포구 의사당대로 22이룸센터 301호 (사)한국지체장애인협회 (여의도동),영등포구,여의도동,37.5268293,126.91783
한국지체장애인협회중앙회,생산·품질 사무원 및 관리원(그 외 분야),2,상용직,연봉,"27,000,000",무관,무관,고졸,서울특별시 영등포구 의사당대로 22이룸센터 301호 (사)한국지체장애인협회 (여의도동),영등포구,여의도동,37.5268293,126.91783
한국지체장애인협회중앙회,마케팅·광고·홍보·상품기획 사무원,1,상용직,월급,"2,000,000",무관,무관,무관,서울특별시 영등포구 의사당대로 22이룸센터 301호 (사)한국지체장애인협회 (여의도동),영등포구,여의도동,37.5268293,126.91783
한국장애인부모회,데이터베이스 운영·관리자,1,계약직,월급,"1,910,000",무관,무관,대졸,서울특별시 영등포구 의사당대로 22이룸센터 603호 (여의도동),영등포구,여의도동,37.5268293,126.91783
한국장애인부모회,지도제작 및 지리정보시스템 전문가,1,계약직,월급,"2,100,000",경력,2년개월,고졸,서울특별시 영등포구 의사당대로 22이룸센터 603호 (여의도동),영등포구,여의도동,37.5268293,126.91783
한국장애인부모회,편의점 판매원,1,계약직,시급,"8,350",무관,무관,고졸,서울특별시 영등포구 의사당대로 22이룸센터 603호 (여의도동),영등포구,여의도동,37.5268293,126.91783
한국장애인부모회,창고 관리원(자재 검수원 포함),1,계약직,월급,"2,070,000",무관,무관,고졸,서울특별시 영등포구 의사당대로 22이룸센터 603호 (여의도동),영등포구,여의도동,37.5268293,126.91783
(주)컴퓨존,기타 전자 부품·제품 조립·검사원,7,상용직,연봉,"26,000,000",신입,무관,무관,서울특별시 용산구 원효로58길 1,용산구,원효로2가,37.536208,126.963447
(주)엘지유플러스,전산자료 입력원(DB·단순자료),1,계약직,연봉,"24,500,000",무관,무관,초대졸,서울특별시 용산구 한강대로 32 (한강로3가),용산구,한강로3가,37.5327429,126.9641606
케이잡스 주식회사,총무 및 일반 사무원,1,계약직,월급,"1,750,000",무관,무관,무관,서울특별시 용산구 한강대로15길 9-53층 (한강로3가),용산구,한강로3가,37.5255673,126.9636388
아주네트웍스　주식회사,환경미화원 및 재활용품 수거원,1,시간제,시급,"8,350",경력,0년6개월,무관,서울특별시 용산구 한남대로 98일신빌딩 (한남동),용산구,한남동,37.5372055,127.0055232
아주네트웍스　주식회사,환경미화원 및 재활용품 수거원,1,계약직,시급,"8,350",경력,1년0개월,무관,서울특별시 용산구 한남대로 98일신빌딩 (한남동),용산구,한남동,37.5372055,127.0055232
공익활동가 사회적협동조합 동행,시민단체 활동가,2,상용직,월급,"1,800,000",무관,무관,무관,서울특별시 종로구 대학로 45임호빌딩 4층 공익활동가 사회적협동조합 동행 (연건동),종로구,연건동,37.5812676,127.0042946
두산컨설팅공인중개사사무소,부동산 컨설턴트 및 중개인,2,상용직,월급,"1,887,100",무관,무관,고졸,서울특별시 종로구 새문안로5길 19로얄빌딩 지하1층 3호 (당주동),종로구,당주동,37.5720063,126.9742753
현대엔지니어링(주),건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),1,계약직,월급,"2,720,000",무관,무관,무관,서울특별시 종로구 율곡로 75 (계동),종로구,계동,37.5807709,126.9863778
(주)에스엔아이시스템,환경 미화원,1,계약직,월급,"1,100,000",무관,0년개월,무관,서울특별시 종로구 종로12길 15(관철동),종로구,관철동,37.5693577,126.9859728
(주)이앤아이티홀딩스,창고 관리원(자재 검수원 포함),1,상용직,시급,"8,350",무관,무관,무관,서울특별시 중구 명동길 551207 (명동1가),중구,명동1가,37.5642078,126.984637
(사)사회복지공동모금회,총무 및 일반 사무원,2,계약직,월급,"2,750,000",무관,무관,무관,서울특별시 중구 세종대로21길 39 (정동),중구,정동,37.5683701,126.9751242
(주)국민트랜스,웹 디자이너,1,상용직,연봉,"25,000,000",경력,1년0개월,무관,"서울특별시 중구 세종대로4길 25이프라자빌딩 2층, 10층",중구,남대문로5가,37.5577428,126.9752743
(주)신세계아이앤씨,IT 기술지원 전문가,6,상용직,연봉,"30,000,000",무관,무관,고졸,서울특별시 중구 소공로 48프라임타워 10층 (회현동2가),중구,회현동2가,37.5402855,126.9702489
국립중앙의료원 서울중부해바라기센터,사회복지 관리자(부서장),1,계약직,연봉,"32,000,000",경력,2년0개월,대졸,서울특별시 중구 을지로 245국립중앙의료원 서울중부해바라기센터,중구,을지로6가,37.5672412,127.0056589
국립중앙의료원 서울중부해바라기센터,가족·학교·아동·청소년·노인·중독 등 상담 전문가,1,계약직,연봉,"26,410,000",경력,0년12개월,대졸,서울특별시 중구 을지로 245국립중앙의료원 서울중부해바라기센터,중구,을지로6가,37.5672412,127.0056589
스마일위드 주식회사,주방 보조원(일반 음식점),1,상용직,월급,"1,965,000",무관,0년개월,무관,서울특별시 중구 을지로 30롯데호텔(소공동),중구,소공동,37.5653,126.980979
주식회사 크래프토리,웹 개발자(웹 엔지니어·웹 프로그래머),1,상용직,연봉,"24,000,000",무관,무관,무관,서울특별시 중구 청계천로 40CKL기업지원센터 12층 1203호,중구,다동,37.5684894,126.9816134
주식회사 크래프토리,웹 기획자,1,상용직,연봉,"24,000,000",무관,무관,무관,서울특별시 중구 청계천로 40CKL기업지원센터 12층 1203호,중구,다동,37.5684894,126.9816134
와우전사,섬유·의복 분야 단순 종사원,1,계약직,월급,"1,950,000",신입,무관,무관,서울특별시 중구 청구로10길 34-6지하 (신당동),중구,신당동,37.5617694,127.0138718
와우전사,의상 디자이너,1,계약직,월급,"1,900,000",무관,무관,고졸,서울특별시 중구 청구로10길 34-6지하 (신당동),중구,신당동,37.5617694,127.0138718
주식회사서조코퍼레이션,가전 판매원(컴퓨터 포함),5,상용직,월급,"1,890,000",무관,무관,고졸,서울특별시 중구 통일로 8612층 6.7.8호 (순화동),중구,순화동,37.5608391,126.9707554
주식회사서조코퍼레이션,가전 판매원(컴퓨터 포함),3,상용직,연봉,"35,000,000",무관,무관,고졸,서울특별시 중구 통일로 8612층 6.7.8호 (순화동),중구,순화동,37.5608391,126.9707554
한길디앤피,책·인쇄물·출판 디자이너,1,상용직,연봉,"22,000,000",경력,1년0개월,초대졸,서울특별시 중구 퇴계로30길 24삼익파크빌 B-106(사무동),중구,필동,37.5598414,126.9916073
(사)한국신장장애인협회,아파트·빌라 경비원,1,계약직,월급,"2,160,000",무관,무관,무관,"서울특별시 중랑구 동일로136길 10제업무시설 301호 (중화동, 청원다미소아파트)",중랑구,중화동,37.6020323,127.0802085
